City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,fauske,67.2588,15.3918,9.02,81,72,1.94,NO,1694552115
348,carutapera,-1.195,-46.02,26.99,74,4,4.47,BR,1694552002
349,cidreira,-30.1811,-50.2056,15.94,92,100,4.82,BR,1694552116
350,port hedland,-20.3167,118.5667,17.03,72,58,3.09,AU,1694552117
351,kusheriki,10.5328,6.4422,20.59,95,100,1.86,NG,1694552117
352,gordonvale,-17.0936,145.7842,20.5,100,65,3.92,AU,1694552118
353,cururupu,-1.8283,-44.8683,26.36,72,2,2.68,BR,1694551906
354,bereznik,62.8551,42.7072,9.46,88,0,2.59,RU,1694552119
355,maintirano,-18.0667,44.0167,24.38,79,12,4.11,MG,1694552119
356,hays,30.0502,-98.0336,35.08,43,61,0.89,US,1694552120
357,hobyo,5.3505,48.5268,25.44,83,62,10.07,SO,1694552120
358,holualoa,19.6228,-155.9522,28.08,75,20,3.6,US,1694552121
359,tiruchchendur,8.4833,78.1167,27.1,77,98,4.41,IN,1694552121
360,tarko-sale,64.9225,77.785,10.56,62,100,4.02,RU,1694552122
361,kupang,-10.1667,123.5833,24.32,78,10,3.09,ID,1694552122
362,carolina beach,34.0352,-77.8936,32.03,75,9,0.45,US,1694552123
363,touros,-5.1989,-35.4608,25.32,79,2,6.9,BR,1694552123
364,eagle mountain,40.3141,-112.0069,28.64,32,58,1.79,US,1694552124
365,okha,53.5739,142.9478,11.55,86,79,1.33,RU,1694552124
366,ljusdal,61.8288,16.0913,9.18,85,100,1.76,SE,1694552125
367,srisailain,16.0833,78.8667,24.15,75,100,3.0,IN,1694552125
368,codrington,-38.2667,141.9667,9.44,79,100,3.89,AU,1694552126
369,aylmer,42.7668,-80.983,21.39,62,100,4.78,CA,1694552070
370,madugula,17.9167,82.8,24.92,94,100,2.87,IN,1694552127
371,beaune,47.0833,4.75,19.8,96,100,2.18,FR,1694552127
372,mahibadhoo,3.7833,72.9667,27.83,77,81,3.7,MV,1694552127
373,jumla,29.2747,82.1838,16.41,93,66,0.42,NP,1694552128
374,tazacorte,28.629,-17.9293,24.54,73,40,6.69,ES,1694552128
375,liepaja,56.5419,21.0367,13.99,100,42,1.03,LV,1694552129
376,morteau,47.0667,6.6167,20.74,94,75,3.09,FR,1694551885
377,klaksvik,62.2266,-6.589,5.51,62,81,6.12,FO,1694552130
378,shenjiamen,29.9576,122.298,25.56,73,87,5.54,CN,1694552130
379,cabedelo,-6.9811,-34.8339,24.37,84,15,5.97,BR,1694552130
380,sisimiut,66.9395,-53.6735,4.12,88,98,4.35,GL,1694552131
381,weining,26.85,104.2333,11.49,89,100,2.21,CN,1694552131
382,sumbawa besar,-8.5,117.4333,21.1,85,10,2.4,ID,1694552132
383,malvan,16.0667,73.4667,25.94,85,100,3.57,IN,1694552132
384,ulsteinvik,62.3432,5.8487,12.09,81,99,2.68,NO,1694552133
385,axams,47.2081,11.2869,12.8,90,75,1.54,AT,1694552134
386,bulungu,-4.55,18.6,27.81,53,15,0.83,CD,1694552134
387,gerardmer,48.0735,6.8779,21.91,97,69,1.31,FR,1694552134
388,sovetskaya gavan',48.9723,140.2878,12.5,64,0,2.8,RU,1694552135
389,abepura,-2.6333,140.5833,24.45,88,20,0.0,ID,1694552135
390,kostroma,57.7708,40.9344,11.03,79,12,2.14,RU,1694552136
391,bayanhongor,46.7167,100.1167,8.09,50,100,1.15,MN,1694552136
392,eldorado,-23.7869,-54.2836,26.97,50,17,2.79,BR,1694551873
393,vyaz'ma,55.2104,34.2951,14.53,66,100,2.81,RU,1694552137
394,parvatipuram,18.7833,83.4333,24.93,93,100,1.24,IN,1694552138
395,along,28.1667,94.7667,21.96,84,14,0.8,IN,1694552138
396,alaghsas,17.0187,8.0168,35.36,15,46,3.5,NE,1694552064
397,trondheim,63.4305,10.3951,11.62,89,65,1.34,NO,1694552139
398,komsomol'skiy,43.9783,46.6985,16.45,74,35,4.46,RU,1694552140
399,encinitas,33.037,-117.292,33.42,73,40,4.63,US,1694552000
400,sakata,38.9167,139.855,23.67,89,99,1.26,JP,1694552140
401,malvern,34.3623,-92.813,24.9,79,95,3.21,US,1694552141
402,bellerive-sur-allier,46.1163,3.4034,19.32,95,99,0.85,FR,1694552141
403,stettler,52.3168,-112.7186,23.86,35,11,5.14,CA,1694552142
404,puerto armuelles,8.2833,-82.8667,30.99,72,100,0.45,PA,1694552142
405,qalat,32.1058,66.9083,22.65,12,0,1.85,AF,1694552143
406,ornskoldsvik,63.2909,18.7153,11.53,100,100,1.54,SE,1694552143
407,gastouni,37.85,21.25,22.92,88,0,0.0,GR,1694552144
408,viale,-31.8678,-60.0072,14.19,40,100,6.56,AR,1694552144
409,kokopo,-4.352,152.2633,25.3,82,100,3.79,PG,1694552144
410,prado,-17.3411,-39.2208,22.87,81,4,3.01,BR,1694552145
411,gizo,-8.103,156.8419,26.77,81,100,6.03,SB,1694552145
412,mikuni,36.2171,136.1519,22.95,81,96,1.89,JP,1694552146
413,conceicao do araguaia,-8.2578,-49.2647,35.63,21,1,1.94,BR,1694552146
414,port lincoln,-34.7333,135.8667,15.18,49,67,3.45,AU,1694552147
415,jangaon,17.7167,79.1833,24.91,81,99,3.43,IN,1694552147
